coname,location_search,location_complete,borough,reason,year,index
Battalion Chief Robert Turner Way,Hancock Street and Marcy Avenue,"Hancock Street, between Stuyvesant Avenue and Marcy Avenue",,"Robert Roland Turner was born on January 18, 1932 to Vivian McCoy and George Turner in Brooklyn, New York. He was baptized at the Bridge Street A.M.E. Church where he remained a member throughout his life. Mr. Turner attended local public schools and graduated from Franklin K. Lane High School. He attended Brooklyn College and later completed his studies at Lincoln University, for which he received a Masters of Human Services Degree in 1991.
In 1951, Robert Turner joined the New York National Guard where he attained the rank of Sergeant and he joined the New York City Fire Department (FDNY) in 1955. During his career at FDNY he served in many positions, including Deputy Commissioner for Community Affairs, before ascending to the rank of Battalion Chief. Of his many accomplishments at FDNY he was duly proud of his role in expanding the participation of African-Americans and Women. 
In his local community, Mr. Turner worked diligently to improve the quality of life. He was affiliated with Cub Scout Pack 259 of the Bridge A.M.E. Church, was very active in his Block Association and in local political and civic organizations. He served as County Committee Member of the New York State Democratic Party, Campaign Manager for New York City Council Member Annette M. Robinson, President of the Vulcan Society, as a Board Member of the International Association of Black Professional Firefighters and as a member of the Lions Club.
Robert Turner was married from 1954 to 1973 to Barbara Lashley. This union produced two children, a daughter, Renee Vanessa, and a son, Robert Roland Turner II.  In 1974 Mr. Turner married Vonceil Watson. This marriage lasted until 1994.
Robert Turner died on January 9, 1997. He was survived by his children; three grandchildren, Andre Terrence Moore, Robert Roland Turner III, and Monique Nicole Turner, a brother, George J. Turner, and a sister, Vivian R. Armfield. In recognition of his service to his community and the City of New York, it is fitting that Hancock Street, between Stuyvesant Avenue and Marcy Avenue, the site of Fire Engine Company No. 214 where Mr. Turner served for several years, be named in his honor.
",2001,46
Actors' Equity Corner,46th Street and 7th Avenue,Northeast corner of 46th Street and 7th Avenue,,"The Actors’ Equity Association represents over 45,000 actors and stage manager in the United States. For 90 years, it has negotiated wages and working conditions providing a wide range of benefits including health and pension plans. It promotes and fosters the art of live theater as an essential part of our cultural life.",2006,20061
Josephine Diana Blvd,17th Avenue and 72nd Street,17th Avenue and 72nd Street,,"Josephine Diana migrated to the United States with her parents in 1955 and settled in Bensonhurst, Brooklyn. She married and had three children, all of whom attended Our Lady of Guadalupe School where Josephine was an active parent and volunteer all through her children’s education. Josephine really epitomized a community minded person by helping her neighbors at time of need and always assisting when something happened in her community.",2006,20062
Rev. Msgr. Bryan J. Karvelis Way,Marcy Avenue and Hooper Streets,Marcy Avenue Between Hewes and Hooper Streets,,"Rev. Bryan J. Karvelis led the Parish of the Transfiguration and was a consummate pillar of the community who dedicated his life improving the neighborhood in a variety of ways. From his work in founding the Southside Mission to his help in opening Casa Betsaida, a residence for people in the community who are infected with the AIDS virus, Rev. Karvelis uplifted his parish by making sure residents had access to the services they needed. His effort and leadership strengthened the community.",2006,20062
Sgt. Jose Gomez Place,104th Street and 38th Avenues,104th Street Between 37th and 38th Avenues,,"Sgt. Jose Gomez is a local hero. He gave his life for his country in Iraq on April 27, 2006, in a roadside bombing in Iraq. He was three months into his second tour of duty in Iraq with the 10th Calvary, 4th Brigade, 4th Infantry Division. According to Maj. Gen. Bill Grisoli, Sergeant Gomez moved his vehicle forward after an explosion to save and protect his fellow soldiers in the convoy. He received a purple heart and bronze star in honor of his heroic efforts. Sgt. Jose Gomez was born in the Dominican Republic and came to Corona, Queens at the age of three. His dream was to go to college and study mathematics to become an accountant.",2006,20062
Dr. Reverend Wyatt Tee Walker Square,"West 116th Street and Adam Clayton Powell, Jr. Boulevard","West 116th Street and Adam Clayton Powell, Jr. Boulevard",,"Dr. Reverend Wyatt Tee Walker was born in 1929 in Brockton, Massachusetts and later earned his bachelor’s degree in 1950 from Virginia Union University in Richmond, Virginia. It was through his enrollment there that he met Dr. Martin Luther King Jr. and they attended the Crozer Theological Seminary together.
        In 1960, Rev. Walker was appointed as the Executive Director of the Southern Christian Leadership Conference (SCLC). It was under the leadership of Walker that SCLC became a major national factor in the Civil Rights Movement. Rev. Walker is also responsible for $100 million in housing construction, as Chairman of the Consortium for Harlem Development. In addition to his pastoral duties, Rev. Walker was able to complete his doctoral dissertation, receiving his PhD. from Colgate Rochester Divinity School in 1975. 
Dr. Reverend Wyatt Tee Walker was named one of the greatest African-American preachers in the nation, named by an Ebony Magazine poll in 1993. He is an author of twenty-one books, including Common Thieves and the Harvard Paper. Even today, the Canaan Baptist remains involved in the advocacy of senior citizens, housing and drug rehabilitation programs. 
",2006,20062
Hermena Rowe Street,"Adam Clayton Powell, Jr. Boulevard and 122nd Street","the southwest corner of Adam Clayton Powell, Jr. Boulevard and 122nd Street",,"Hermena Rowe (1929 – 2005), was a resident of Harlem for 62 years.  She was born December 29, 1929 in Bamberg, South Carolina and moved to New York City at the age of 14 and began attending public schools, where she graduated from Washington Irving High School. In 1946, she married the late Clarence Rowe and had a family of nine children.  As a concerned parent, Ms. Rowe became engaged as a community activist in order to bring about much needed improvements in conditions in her children’s’ schools.  In the late 1950’s and early 1960’s Ms. Rowe served as Secretary of the PS 144 Parent-Teacher Association (PTA) and became an active member of the Wadleigh Junior High School PTA where she was integral in planning and implementing innovative programs, as well as in selecting qualified educators and administrators.  Through her work as a community activist, Ms. Rowe collaborated with such leaders as Ennis Francis, Bernice Bolar, Bea Ellis, Vivian Waller, Noreen Clark and Percy Sutton and helped to bring about positive changes to the social and political climate of the community.  Ms. Rowe also worked for a time at the Center for Early Childhood Program and with the East Harlem Scholarship Program, where she was instrumental in awarding scholarships to many deserving minority college students.  Ms. Rowe also served as a member of several Harlem Community organizations, including Harlem Youth Opportunities Unlimited (HARYOU-ACT), Neighborhood Board #4, Planning Board #10, The Board of Family Planning and Addicts Rehabilitation Center (ARC).  Ms. Rowe was also a devoted and active member of Christian Parish for Spiritual Renewal since 1955. ",2013,20131
Captain Dennis Morales Way,4th Avenue and 36th Street,At the intersection of 4th Avenue and 36th Street,,"Captain Dennis Morales joined the New York City Police Department in January 1992, where he began his career on patrol in the 7th Precinct. He was promoted to Sergeant in 1997, Lieutenant in August 2000 and Captain in March 2004. His career spanned 18 years during which time, he graduated from St. Joseph’s College, made 93 arrests, was recognized six times for Excellent Police Duty and two times for Meritorious Police Duty. As part of the Emergency Service Unit, he participated in rescue and recovery efforts following the 9/11 terrorist attacks. He retired on July 30, 2010 and died on July 2012 at the age of 50 from illnesses contracted from rescue and recovery work performed at the World Trade Center site.",2013,20132
Subhi Widdi Way,6th Avenue and 56th Street,At the intersection of 6th Avenue and 56th Street,,"Subhi Widdi was born in Jerusalem on January 5, 1933.  Though he dropped out of school due to poverty, he began working in construction at age 16.  Through his construction work, he learned the skills necessary to becoming an architect.  He then started his own company and built many buildings in Jerusalem and nearby towns.  He immigrated to the United States in 1960 where he went into the food business, eventually establishing Widdi Catering Hall in Sunset Park.  He provided use of the hall, free of charge, to non-profit organizations such as local churches, synagogues, mosques and schools and oftentimes forgave the debts of those who could not afford to pay the entire cost for events at the Hall.  Subhi Widdi earned a reputation in his community for being extremely charitable and helpful to anyone who was in need.  He helped fund the construction of the Saint Nicholas Home for the Aged, where he sat as a board member and also founded the New York Chapter of The Red Crescent and was one of the founders of the Arab American Association of New York.  He received numerous accolades throughout his life, including the “Merchant of the Year” award from White Rose Food, and being honored numerous times by the 77th Precinct Community Council for his contributions to the community and being honored by the Tri State Arab American Association of Architects and Engineers in 2010.  ",2013,20133
Pat Jones Way,144th Street and Convent Avenue,144th Street Between Hamilton Terrace and Convent Avenue,,"Pat Jones joined Community Board 9 in 2001 and served as chair for two terms from 2008 to 2010.  She co-authored the Community Benefits Agreement, a legal document outlining $76 million in funding and benefits for the neighborhood from Columbia University, and chaired the board committee whose work led to the plan.  She advocated for an alternative to the University’s plan, which included more affordable housing, landmark preservation, and increased accessibility to University facilities.  She also served on the board of the West Harlem Development Corporation.  After serving as CB9 chair, she served as co-chair of the board’s land use and zoning committee.  Throughout her tenure as board and committee chair, she had an instrumental role in several local rezoning efforts, including the Manhattanville and West Harlem rezonings. ",2013,20134
Ariel Russo Place (4 Years Old),West 97th Street and Broadway,West 97th Street Between Amsterdam Avenue and Broadway,,"Ariel Russo was 4 years-old when she was killed on a sidewalk in June 2013 when an unlicensed teen driver in an SUV jumped the curb while fleeing from the police and struck her.  Records indicated that there was a four-minute delay between the time EMS received the 9-1-1 call and the time an ambulance was dispatched. In response to her death, the City Council passed the Ariel Russo Emergency 9-1-1 Response Time Reporting Act, which requires the Fire Department to count and report complete response times starting from the moment a 911 call is taken, rather than when a vehicle is dispatched in order to help best determine how to best deploy limited resources and facilitate swift emergency response.",2013,20135
John E. Nikas Way,East 12th Street and Gravesend Neck Road,At the intersection of East 12th Street and Gravesend Neck Road,,"John Nikas worked for New York State for a number of years.  He was very involved with the Three Hierarchs Greek Orthodox Church where he helped set up a youth program under the auspices of HANAC, a Hellenic Greek organization which oversaw its operations.  He helped found the 61st Precinct Youth Council, which helped to bring troubled youth into programs working with the NYPD.  The Youth Council flourished and eventually became self-sustaining operation under the name Youth Dares which helped young kids.  He later represented the 61st Precincts new program called The Citizens’ Police Academy.  He was a graduate of the programs first class.  He was a member of the Board of Directors of Community Hospital no known as New York Community Hospital.  He was also the chairperson of Planning Board No. 15 for many years.  ",2013,20136
Jean-Jacques Dessalines Boulevard,Rogers Avenue and Eastern Parkway,Rogers Avenue Between Farragut Road and Eastern Parkway,,"Jean-Jacques Dessalines is one of the founding fathers of Haiti, having taken charge of the Haitian Revolution to victory in defeating the French Napoleon Army in 1804.  Significant to world history, the Haitian Revolution is not only the first and only successful slave revolution in the Americas, but also resulted in Haiti being the first Latin American country and second in the Western Hemisphere to declare its independence, after the United States declared independence from Britain in 1776.   Furthermore, the Haitian Revolution was inspirational and gave support to the enslaved and subjugated peoples throughout the world.  More significantly, the Haitian Revolution was a truly transcultural event, joining three interlocking and intersectional 18th Century struggles, which continue to reverberate to the present:  the challenge to imperial European authority; the fight for racial equality and the movement to end to slavery.  Jean-Jacques Dessalines was born into slavery in the French colony of Saint-Domingue. In 1791, he joined the fight for freedom when thousands of brutally exploited enslaved people rose up against their colonial masters, and their enablers in France, who murdered and massacred hundreds of thousands of people across the Caribbean.  By 1793, he was fighting under General Toussaint Louverture, earning the nickname “the Tiger” for his intensity in battle and his military skill. Within a few years, the slave insurgents forced the French administrators of the colony to emancipate them, a decision ratified by revolutionary Paris in 1794.  From 1794 through 1802, Dessalines fought with Louverture both for and against France for the eradication of slavery and the self-determination of the people of Saint-Domingue.  
After Louverture was kidnapped, shackled and deported to France in 1802, Dessalines led the Revolution, as Napoleon appointed General Rochambeau to lead the French military expedition to re-conquer Saint-Domingue.  Rochambeau immediately embarked on a massacre of much of the non-white civilians, including women and children, and military population by staging mass executions via firing squads, hanging and drowning.  By January 1, 1804, the French were defeated and Dessalines declared Haiti independent. Between February and April 1804, Dessalines, in response to French brutality and out of fear of future French re-conquest and re-enslavement ordered the execution of all the remaining white French on the island, estimated in the range of 3,000 to 5,000, but personally protected whites loyal to Haitian independence, including thousands of Polish soldiers who had defected from the French Army. The Haitian Revolution (1791-1804) became the first slave revolt in modern history to result in an independent nation.
The independence of Haiti reshaped the Atlantic world by leading to the French sale of Louisiana to the United States, and encouraged republican revolutions in Latin America, and eventually Africa.  Under Petion, Haiti provided direct assistance to Simon Bolivar on at least two crucial occasions during the latter’s successful efforts to secure independence for the Spanish Colonial territories throughout Latin America.  Dessalines was declared Emperor of Haiti in September 1804. Many of the policies he implemented were progressive even by today’s standards, including social policies, such as freedom of religion, equal rights for children born out of wedlock, marriage and divorce laws favorable to women.  Dessalines also attempted land reforms, and specifically policies to address the concentration of ownership of valuable plantations throughout the country by a few wealthy families, which likely led to his death in a roadside ambush on October 17, 1806, when those who opposed his economic policies rebelled and took up arms against him.  Jean-Jacques Dessalines remains a popular symbol of Haitian nationalism. The first capital of independent Haiti was renamed “Dessalines”; the national anthem of Haiti is named after him (“La Dessalinienne”); and his image appears on the 250 Haitian gourde note.
",2018,20181
